timestamp	speed_pps	distance_pix	deltatimestamp_ms
712537541	0	0	175.0m
712748015	76.2	16.03122	210.5m
712777541	76.2	16.03122	210.5m
712797541	76.2	16.03122	210.5m
712817541	76.2	16.03122	210.5m
712837541	76.2	16.03122	210.5m
712857541	76.2	16.03122	210.5m
712877541	76.2	16.03122	210.5m
712897541	76.2	16.03122	210.5m
712917541	76.2	16.03122	210.5m
712937541	76.2	16.03122	210.5m
712957541	76.2	16.03122	210.5m
712977541	76.2	16.03122	210.5m
713237541	169.3	44.011364	260.0m
713257541	169.3	44.011364	260.0m
713275646	169.3	44.011364	260.0m
713307509	169.3	44.011364	260.0m
713317541	169.3	44.011364	260.0m
713337541	169.3	44.011364	260.0m
713357541	169.3	44.011364	260.0m
713377541	169.3	44.011364	260.0m
713397541	169.3	44.011364	260.0m
713577541	205.6	37	180.0m
713597541	205.6	37	180.0m
713617541	205.6	37	180.0m
713637541	205.6	37	180.0m
713657541	205.6	37	180.0m
713669965	205.6	37	180.0m
713689965	205.6	37	180.0m
713717541	205.6	37	180.0m
713737540	205.6	37	180.0m
713757541	205.6	37	180.0m
713777541	205.6	37	180.0m
713797541	205.6	37	180.0m
713817541	205.6	37	180.0m
714357541	585.8	82.006096	140.0m
714377541	585.8	82.006096	140.0m
714474480	691.5	67.02985	96.9m
714494480	691.5	67.02985	96.9m
714517541	691.5	67.02985	96.9m
714537541	691.5	67.02985	96.9m
714557541	691.5	67.02985	96.9m
714577541	691.5	67.02985	96.9m
714597541	691.5	67.02985	96.9m
714617541	691.5	67.02985	96.9m
714697541	787.5	63	80.0m
714717541	787.5	63	80.0m
714737541	787.5	63	80.0m
714757541	787.5	63	80.0m
714777541	787.5	63	80.0m
714797541	787.5	63	80.0m
714817541	787.5	63	80.0m
714897541	900	72	80.0m
714917541	900	72	80.0m
714937541	900	72	80.0m
714957541	900	72	80.0m
714968927	900	72	80.0m
714988927	900	72	80.0m
715017541	900	72	80.0m
715037541	900	72	80.0m
715057541	900	72	80.0m
715077541	900	72	80.0m
715097541	900	72	80.0m
715117541	900	72	80.0m
715177541	1600	94.00532	60.0m
715277541	1700	170.01176	100.0m
715297541	1700	170.01176	100.0m
715597541	2600	105.01904	40.0m
715637541	2800	113.03982	40.0m
715657541	2800	113.03982	40.0m
715688201	2800	113.03982	40.0m
715717541	2800	113.03982	40.0m
715737541	3100	61.008198	20.0m
715777541	3300	130.06152	40.0m
715797541	3300	130.06152	40.0m
715817541	3300	130.06152	40.0m
715837541	3300	130.06152	40.0m
715857541	3300	130.06152	40.0m
715877541	3300	130.06152	40.0m
715897541	3300	130.06152	40.0m
715917541	3300	130.06152	40.0m
715937542	3300	130.06152	40.0m
715977541	3800	153.08168	40.0m
715997541	3800	153.08168	40.0m
716037540	3800	153.05228	40.0m
716057541	3800	153.05228	40.0m
716077541	3800	153.05228	40.0m
716097541	3800	153.05228	40.0m
716177541	5000	99.04544	20.0m
716197542	5000	99.00505	20.0m
716217541	5000	99.00505	20.0m
716237541	5000	99.00505	20.0m
716257542	5000	99.00505	20.0m
716277541	5000	99.00505	20.0m
716297541	4900	97.04638	20.0m
716317542	4900	97.04638	20.0m
716337541	4900	97.020615	20.0m
716357541	4900	97.020615	20.0m
716377541	4900	97.020615	20.0m
716477541	5800	116.06895	20.0m
716497542	5800	116.06895	20.0m
716517541	5800	116.06895	20.0m
716537541	5800	116.06895	20.0m
716557541	6000	120.03749	20.0m
716637540	6100	121.0661	20.0m
716657541	6100	121.0661	20.0m
716677541	6200	124.10077	20.0m
716697541	6200	124.10077	20.0m
716717540	5900	118.03813	20.0m
716737537	6300	125.035995	20.0m
716757541	6300	125.035995	20.0m
716777541	6000	120.03749	20.0m
716797540	6000	120.03749	20.0m
716817540	6000	120.03749	20.0m
716837541	6000	120.03749	20.0m
716857542	6000	120.03749	20.0m
716877541	6000	120.03749	20.0m
716897541	6000	120.03749	20.0m
716917541	6000	120.03749	20.0m
716937541	6800	136.0588	20.0m
716957541	6800	136.0588	20.0m
716977540	6800	136.0588	20.0m
716997542	6800	136.0588	20.0m
717037541	7000	140.03214	20.0m
717057541	7000	140.03214	20.0m
